NO.;Klaster;PH;DO;COD;NH3-N;TP;CODMn;F;Oil;Cr6+;LAS;Cu;Zn;Cd;As;Hg;CN;VP;S;Se
M1;2;7,56;7,56667;30,08333;1,635;0,375;8,28333;0,5525;0,17417;0,01767;0,2675;0,0575;0,05;0,00024;0,00294;0,00017;0,01542;0,00107;0,01192;0,00092
M2;1;7,64583;8,70833;15,66667;0,88583;0,20083;3,73333;0,84833;0,10083;0,01008;0,24333;0,05333;0,03833;0,00023;0,00219;0,00015;0,01158;0,00056;0,0095;0,00067
M3;1;7,7875;8,525;17,58333;1,275;0,22417;6,06667;0,6075;0,06083;0,01525;0,1775;0,04;0,04667;0,00031;0,00202;0,00016;0,00842;0,00073;0,00708;0,00072
M4;2;7,7;8,58333;26,58333;1,2;0,225;6,15833;0,64083;0,0875;0,019;0,21917;0,0425;0,04083;0,0003;0,00273;0,00016;0,01033;0,00105;0,01125;0,00096
M5;2;7,79083;8,09167;32,08333;0,935;0,19333;6,525;0,66917;0,0825;0,01767;0,1925;0,04417;0,03917;0,00034;0,00293;0,00015;0,01433;0,00063;0,00733;0,00091
M6;2;7,61083;8,175;26,33333;0,8975;0,14167;5,84167;0,80667;0,15417;0,02058;0,21;0,04083;0,04333;0,00037;0,00265;0,00013;0,01242;0,00074;0,00633;0,00071
M7;2;7,62083;8,375;25,41667;0,85583;0,155;6,38333;0,81417;0,1425;0,01892;0,20583;0,03667;0,03833;0,00031;0,00263;0,00012;0,01125;0,00078;0,00717;0,00074
M8;1;7,70417;8,84833;23,58333;0,7375;0,1525;6,34167;0,77833;0,13667;0,01742;0,20417;0,0275;0,035;0,00027;0,00241;0,00011;0,00867;0,00058;0,00592;0,00065
T1;2;7,62667;8,55833;26,91667;1,38667;0,31333;7,09167;0,8425;0,10917;0,01883;0,235;0,0725;0,04333;0,00026;0,00252;0,00015;0,01308;0,001;0,01225;0,00087
T2;1;7,59583;8,23333;9,16667;1,34333;0,16083;4,69167;0,44333;0,08;0,01492;0,17083;0,04167;0,03917;0,00026;0,00165;0,0001;0,00767;0,00059;0,00725;0,00061
T3;1;7,6275;8,625;8,83333;1,46167;0,10417;5,59167;0,45333;0,07333;0,01458;0,1625;0,03333;0,03917;0,00022;0,00158;0,00018;0,00667;0,00047;0,00767;0,00048
T4;1;7,64333;8,40833;11,16667;0,6175;0,18667;3,59167;0,60583;0,075;0,01425;0,16667;0,02917;0,0425;0,00032;0,00196;0,0001;0,00942;0,00061;0,00667;0,00064
T5;1;7,5575;8,35833;12,5;0,66167;0,09667;3,20833;0,58667;0,04833;0,00892;0,1525;0,03083;0,04083;0,0002;0,0018;0,0001;0,00833;0,00046;0,006;0,0006
T6;2;7,61833;8,51667;22,16667;0,90917;0,22;6,65;0,86583;0,15083;0,02;0,21917;0,05083;0,045;0,00033;0,00302;0,00014;0,00775;0,00073;0,00833;0,00089
