Pengambilan;Klaster;PH;DO;COD;NH3-N;TP;CODMn;F;Oil;Cr6+;LAS;Cu;Zn;Cd;As;Hg;CN;VP;S;Se;;
2019,07;1;7,44357;8,10714;24,92857;0,98786;0,23857;6,37857;0,66643;0,09786;0,02043;0,14929;0,05286;0,04429;0,00031;0,00251;0,0002;0,012;0,00084;0,00807;0,00057;;
2019,08;1;7,47857;8,4;26,78571;0,98857;0,23571;6,37857;0,67214;0,09429;0,01943;0,16571;0,05286;0,04357;0,00031;0,00251;0,0002;0,012;0,00084;0,008;0,00057;;
2019,09;1;7,385;8,85;21,78571;1,19643;0,20714;6,41429;0,72929;0,10643;0,01693;0,09786;0,04;0,05286;0,00027;0,00299;0,00015;0,01064;0,00063;0,008;0,00096;;
2019,10;2;7,765;8,2;17,14286;0,945;0,205;6,32857;0,68643;0,115;0,01514;0,13857;0,03071;0,04143;0,00026;0,00162;0,0001;0,0125;0,00107;0,009;0,00057;;
2019,11;2;7,62929;8,39857;14,78571;0,93929;0,19714;5,36429;0,64929;0,11286;0,01507;0,22;0,04;0,03929;0,00026;0,00106;0,00012;0,00886;0,00049;0,00743;0,00054;;
2019,12;2;7,82571;8,87143;17,64286;0,92857;0,17929;6,57143;0,72929;0,10071;0,01436;0,2;0,03286;0,03714;0,00024;0,00189;0,0001;0,007;0,00046;0,00679;0,00089;;
2020,01;2;7,745;8,35714;12,14286;0,92;0,16357;4,91429;0,67357;0,10286;0,01436;0,23357;0,03214;0,04071;0,00027;0,0025;0,0001;0,00814;0,00052;0,00721;0,00091;;
2020,03;1;7,77429;8,45714;22,57143;1,25071;0,17214;5,2;0,66714;0,09714;0,01514;0,23286;0,03857;0,04071;0,00028;0,00267;0,00011;0,00914;0,00061;0,00821;0,00099;;
2020,04;1;7,78714;8,3;22,85714;1,28786;0,17786;5,35;0,66571;0,10429;0,0155;0,23214;0,04;0,04143;0,00028;0,00264;0,00011;0,00943;0,00061;0,00793;0,00103;;
2020,05;1;7,62214;8,03571;24;1,15357;0,17429;5,1;0,67429;0,10643;0,01586;0,24929;0,04571;0,04;0,00029;0,00277;0,00012;0,00907;0,0006;0,00893;0,00061;;
2020,06;1;7,63786;8,24286;22,35714;1,03143;0,20357;5,25714;0,67929;0,11286;0,01629;0,25214;0,05429;0,04;0,00031;0,00255;0,00017;0,01279;0,00093;0,00929;0,00063;;
2020,07;1;7,69714;8,55714;19,92857;1,05786;0,20214;5,45;0,66286;0,11429;0,017;0,25143;0,055;0,03714;0,0003;0,0026;0,00017;0,013;0,00097;0,00943;0,00063;;
